nohup: 忽略输入
timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/04/30 22:21:30.162, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:31.162, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:21:31.162, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:32.162, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:21:32.162, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:33.162, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:21:33.163, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:34.163, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 71 %
2026/04/30 22:21:34.163, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:35.163, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:21:35.163, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:36.163, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 70 %
2026/04/30 22:21:36.164, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:37.164, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 73 %
2026/04/30 22:21:37.164, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:38.164, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:21:38.164, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:39.164, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:21:39.164, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:40.164, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 70 %
2026/04/30 22:21:40.165, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:41.165, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:21:41.165, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:42.165, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:21:42.165, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:43.166, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 70 %
2026/04/30 22:21:43.166, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:44.166, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 71 %
2026/04/30 22:21:44.166, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:45.166, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:21:45.166, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:46.167, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 71 %
